RangeDistance;RangeOrientation;CellState;Norte;Este;Sur;Oeste
0;0;False,False,False,False;-100;-100;-100;-100
0;0;True,False,False,False;-66,40704;-100;-100;-100
0;0;False,True,False,False;-100;-43,92;-100;-100
0;0;True,True,False,False;-94,096;-100;-100;-100
0;0;False,False,True,False;-100;-100;0;-100
0;0;True,False,True,False;-95,12;-100;-85,31522;-100
0;0;False,True,True,False;-100;-85,36;-100;-100
0;0;True,True,True,False;-100;-100;-100;-100
0;0;False,False,False,True;-100;-100;-100;0
0;0;True,False,False,True;-85,82923;-100;-100;-91,34218
0;0;False,True,False,True;-100;-100;-100;-98
0;0;True,True,False,True;-97,9982;-96,4;-100;-98
0;0;False,False,True,True;-100;-100;-86,02449;-92,62144
0;0;True,False,True,True;-95,11885;-100;-100;-95,11885
0;0;False,True,True,True;-100;-100;-96,39856;-100
0;0;True,True,True,True;-100;-100;-100;-98
0;1;False,False,False,False;-100;-100;-100;-100
0;1;True,False,False,False;-77,9204;-100;-100;-100
0;1;False,True,False,False;-100;-25,2;-100;-100
0;1;True,True,False,False;-77,9204;-46,576;-100;-100
0;1;False,False,True,False;-100;-100;0;-100
0;1;True,False,True,False;-89,99749;-100;-84,90118;-100
0;1;False,True,True,False;-100;-72,01365;-64,90008;-100
0;1;True,True,True,False;-89,99538;-86,21288;-82,05714;-100
0;1;False,False,False,True;-100;-100;-100;0
0;1;True,False,False,True;-89,97663;-100;-100;-89,98131
0;1;False,True,False,True;-100;-80,72533;-100;-89,99608
0;1;True,True,False,True;-89,99542;-78,06838;-100;-89,99986
0;1;False,False,True,True;-100;-100;-57,3088;-60,5088
0;1;True,False,True,True;-89,99968;-100;-87,23055;-89,99542
0;1;False,True,True,True;-100;-86,39268;-85,57207;-89,99789
0;1;True,True,True,True;-89,99773;-82,2196;-85,71413;-89,9932
0;2;False,False,False,False;-100;-100;-100;-100
0;2;True,False,False,False;-93,2768;-100;-100;-100
0;2;False,True,False,False;-100;-37,36;-100;-100
0;2;True,True,False,False;-100;-89,82339;-100;-100
